applicant_id,age,vehicle_age,prior_claims,accidents,violations,credit_tier,zip_risk,coverage_limit,deductible,risk_score,underwriting_decision,premium_recommendation
105,42,10,5,0,0,Fair,High,250000,1000,100.0,Reject,5000.0
106,62,8,3,3,1,Fair,Medium,25000,250,100.0,Reject,2000.0
107,58,2,0,2,4,Good,High,25000,1000,100.0,Reject,500.0
108,46,18,0,0,4,Poor,Medium,100000,2000,100.0,Reject,1000.0
109,32,7,2,2,2,Poor,Low,100000,250,100.0,Reject,8000.0
110,62,4,5,2,4,Good,High,250000,500,100.0,Reject,10000.0
111,18,3,4,3,4,Excellent,Low,100000,2000,100.0,Reject,1000.0
112,42,5,4,1,0,Poor,Medium,250000,500,100.0,Reject,10000.0
113,24,1,0,3,3,Poor,Medium,25000,1000,100.0,Reject,500.0
114,26,19,1,1,2,Excellent,Medium,25000,2000,89.5,Reject,236.88
115,41,10,5,1,0,Poor,Low,25000,250,100.0,Reject,2000.0
116,18,3,3,3,3,Poor,Medium,50000,2000,100.0,Reject,500.0
117,61,14,1,3,0,Excellent,Low,250000,500,86.0,Reject,9300.0
118,25,5,1,1,0,Excellent,High,25000,250,67.5,Approve with Adjusted Premium,1675.0
119,41,16,5,3,4,Fair,Medium,250000,2000,100.0,Reject,2500.0
120,28,5,0,1,3,Good,Medium,100000,2000,71.5,Refer to Underwriter,857.5
121,68,18,0,2,2,Good,Medium,100000,2000,98.0,Reject,990.0
122,34,1,0,3,2,Excellent,High,25000,2000,97.5,Reject,246.88
123,25,14,0,2,3,Excellent,Medium,250000,250,95.0,Reject,19500.0
124,52,10,4,0,4,Poor,Low,25000,500,100.0,Reject,1000.0
125,52,7,0,2,1,Fair,Low,100000,2000,73.5,Refer to Underwriter,867.5
126,50,18,4,2,0,Fair,Medium,25000,250,100.0,Reject,2000.0
127,22,12,4,1,4,Excellent,Medium,250000,500,100.0,Reject,10000.0
128,59,11,0,2,3,Poor,High,100000,2000,100.0,Reject,1000.0
129,56,4,2,3,0,Poor,High,50000,500,100.0,Reject,2000.0
130,58,5,3,1,2,Good,High,100000,500,100.0,Reject,4000.0
131,45,3,1,0,1,Good,Medium,50000,250,47.5,Approve with Adjusted Premium,2950.0
132,24,18,4,3,2,Poor,High,25000,500,100.0,Reject,1000.0
133,26,19,5,0,3,Good,High,25000,250,100.0,Reject,2000.0
134,25,0,5,2,0,Excellent,Low,250000,2000,90.0,Reject,2375.0
135,29,19,3,3,3,Poor,High,50000,500,100.0,Reject,2000.0
136,51,16,5,3,0,Good,Low,25000,500,100.0,Reject,1000.0
137,50,11,2,0,4,Fair,Low,50000,1000,93.5,Reject,967.5
138,65,14,5,3,1,Poor,High,25000,2000,100.0,Reject,250.0
139,72,0,1,3,4,Poor,Low,100000,2000,100.0,Reject,1000.0
140,40,13,1,3,4,Fair,Medium,25000,1000,100.0,Reject,500.0
141,41,5,4,2,3,Excellent,Medium,250000,1000,100.0,Reject,5000.0
142,54,4,0,0,1,Fair,High,100000,250,64.0,Approve with Adjusted Premium,6560.0
143,52,10,2,3,0,Poor,Medium,250000,250,100.0,Reject,20000.0
144,61,3,4,1,0,Excellent,Low,100000,500,69.5,Approve with Adjusted Premium,3390.0
145,57,12,2,1,2,Good,Medium,50000,500,94.0,Reject,1940.0
146,39,10,0,1,0,Good,High,250000,500,70.0,Refer to Underwriter,8500.0
147,44,2,5,1,3,Good,High,25000,500,100.0,Reject,1000.0
148,52,0,5,2,4,Poor,Low,50000,250,100.0,Reject,4000.0
149,18,5,0,3,4,Fair,High,25000,2000,100.0,Reject,250.0
150,52,17,4,0,4,Excellent,Medium,100000,500,100.0,Reject,4000.0
151,54,9,0,3,1,Good,High,100000,2000,100.0,Reject,1000.0
152,64,4,3,2,0,Excellent,Low,25000,500,76.0,Refer to Underwriter,880.0
153,31,9,1,1,3,Poor,High,25000,1000,100.0,Reject,500.0
154,20,11,4,2,1,Good,Medium,50000,500,100.0,Reject,2000.0
155,18,1,2,3,2,Poor,Low,25000,500,100.0,Reject,1000.0
156,22,12,3,0,3,Fair,Medium,250000,500,100.0,Reject,10000.0
157,43,7,4,2,3,Poor,Low,250000,250,100.0,Reject,20000.0
158,72,1,0,0,3,Poor,High,25000,1000,85.5,Reject,463.75
159,31,19,0,2,4,Fair,Low,250000,500,100.0,Reject,10000.0
160,56,0,0,0,3,Excellent,Low,25000,500,34.0,Approve,670.0
161,44,4,0,0,0,Fair,High,50000,2000,56.0,Approve with Adjusted Premium,390.0
162,26,8,2,1,3,Fair,Medium,250000,1000,100.0,Reject,5000.0
163,32,16,3,0,4,Poor,High,250000,500,100.0,Reject,10000.0
164,32,8,5,1,3,Excellent,Low,25000,2000,100.0,Reject,250.0
165,43,10,1,3,2,Good,High,250000,2000,100.0,Reject,2500.0
166,59,14,2,3,2,Fair,Low,100000,250,100.0,Reject,8000.0
167,30,5,2,1,4,Excellent,High,50000,2000,100.0,Reject,500.0
168,68,2,5,1,0,Fair,High,50000,500,100.0,Reject,2000.0
169,49,16,5,2,0,Fair,Medium,250000,250,100.0,Reject,20000.0
170,56,4,1,2,1,Fair,Low,250000,250,79.0,Refer to Underwriter,17900.0
171,66,11,1,2,4,Fair,Medium,100000,500,100.0,Reject,4000.0
172,69,17,5,3,3,Poor,Low,100000,1000,100.0,Reject,2000.0
173,49,13,0,2,4,Excellent,High,250000,2000,100.0,Reject,2500.0
174,21,10,2,0,1,Excellent,Low,250000,250,53.0,Approve with Adjusted Premium,15300.0
175,47,8,4,0,4,Excellent,Medium,100000,1000,100.0,Reject,2000.0
176,54,1,1,2,4,Fair,Medium,25000,500,100.0,Reject,1000.0
177,40,11,1,0,1,Poor,Medium,100000,2000,79.5,Refer to Underwriter,897.5
178,56,2,5,3,0,Fair,Low,25000,2000,100.0,Reject,250.0
179,62,2,3,0,3,Fair,Medium,50000,250,92.0,Reject,3840.0
180,32,0,4,3,1,Excellent,Medium,50000,2000,100.0,Reject,500.0
181,60,7,4,1,2,Fair,Medium,100000,2000,100.0,Reject,1000.0
182,46,7,1,1,0,Good,High,25000,2000,75.5,Refer to Underwriter,219.38
183,53,10,0,1,2,Fair,High,100000,2000,96.0,Reject,980.0
184,30,8,3,1,0,Good,Low,100000,500,72.0,Refer to Underwriter,3440.0
185,49,4,4,0,3,Fair,Low,25000,1000,95.0,Reject,487.5
186,24,13,1,2,3,Poor,Medium,100000,500,100.0,Reject,4000.0
187,68,2,4,0,4,Poor,High,50000,500,100.0,Reject,2000.0
188,39,4,3,3,2,Excellent,Medium,250000,250,100.0,Reject,20000.0
189,45,4,3,0,0,Fair,Medium,250000,2000,71.0,Refer to Underwriter,2137.5
190,19,18,2,0,3,Good,High,100000,500,100.0,Reject,4000.0
191,59,13,5,3,1,Good,High,25000,2000,100.0,Reject,250.0
192,62,3,5,1,3,Fair,High,25000,500,100.0,Reject,1000.0
193,74,12,1,1,1,Good,Low,50000,500,66.0,Approve with Adjusted Premium,1660.0
194,70,9,3,1,0,Poor,Low,25000,250,93.5,Reject,1935.0
195,23,17,2,2,3,Good,Medium,25000,1000,100.0,Reject,500.0
196,45,7,2,3,3,Excellent,Low,50000,1000,100.0,Reject,1000.0
197,45,7,4,3,0,Poor,High,100000,500,100.0,Reject,4000.0
198,61,6,4,0,3,Poor,High,250000,250,100.0,Reject,20000.0
199,61,7,2,2,1,Poor,Low,50000,2000,100.0,Reject,500.0
200,37,13,4,1,3,Fair,Medium,100000,2000,100.0,Reject,1000.0
201,47,18,3,2,2,Fair,Medium,50000,500,100.0,Reject,2000.0
202,28,5,0,3,4,Poor,Low,100000,1000,100.0,Reject,2000.0
203,72,0,3,3,1,Fair,Medium,50000,250,100.0,Reject,4000.0
204,45,14,2,0,2,Good,Medium,100000,1000,82.0,Refer to Underwriter,1820.0
205,42,0,2,0,0,Fair,Medium,50000,2000,55.0,Approve with Adjusted Premium,387.5
206,56,16,3,3,1,Fair,High,100000,1000,100.0,Reject,2000.0
207,50,0,4,1,4,Poor,High,50000,2000,100.0,Reject,500.0
208,18,14,4,1,4,Excellent,Low,250000,250,100.0,Reject,20000.0
209,74,1,5,2,0,Excellent,High,250000,250,100.0,Reject,20000.0
210,44,13,2,3,0,Excellent,Medium,25000,500,100.0,Reject,1000.0
211,74,7,1,3,1,Good,High,100000,500,100.0,Reject,4000.0
212,69,7,5,1,3,Fair,Low,50000,1000,100.0,Reject,1000.0
213,30,18,4,1,0,Excellent,High,100000,250,100.0,Reject,8000.0
214,58,6,3,3,3,Poor,Medium,250000,250,100.0,Reject,20000.0
215,20,18,4,0,2,Excellent,Medium,100000,500,100.0,Reject,4000.0
216,56,5,3,3,4,Excellent,Low,50000,2000,100.0,Reject,500.0
217,23,5,5,3,3,Fair,High,100000,1000,100.0,Reject,2000.0
218,25,2,2,1,4,Fair,High,50000,1000,100.0,Reject,1000.0
219,44,6,4,1,3,Fair,High,250000,500,100.0,Reject,10000.0
220,26,18,3,0,2,Good,Medium,250000,250,98.0,Reject,19800.0
221,54,7,2,0,0,Good,Low,250000,500,45.5,Approve with Adjusted Premium,7275.0
222,50,9,1,2,2,Excellent,High,25000,500,100.0,Reject,1000.0
223,68,19,3,3,0,Fair,Medium,250000,500,100.0,Reject,10000.0
224,59,14,5,1,0,Excellent,Medium,100000,500,100.0,Reject,4000.0
225,61,14,1,0,4,Poor,Medium,25000,2000,100.0,Reject,250.0
226,41,0,1,2,2,Poor,High,250000,2000,100.0,Reject,2500.0
227,32,19,0,2,3,Fair,High,100000,250,100.0,Reject,8000.0
228,71,6,4,1,2,Fair,High,100000,500,100.0,Reject,4000.0
229,49,3,3,1,4,Poor,High,100000,2000,100.0,Reject,1000.0
230,49,5,1,2,0,Fair,High,50000,250,97.5,Reject,3950.0
231,41,0,0,0,4,Good,High,25000,500,72.0,Refer to Underwriter,860.0
232,58,4,5,2,1,Good,High,100000,1000,100.0,Reject,2000.0
233,69,0,2,3,1,Fair,High,50000,2000,100.0,Reject,500.0
234,66,3,3,3,3,Poor,High,250000,250,100.0,Reject,20000.0
235,66,1,1,1,4,Excellent,Medium,100000,1000,78.5,Refer to Underwriter,1785.0
236,69,9,4,0,3,Fair,High,50000,500,100.0,Reject,2000.0
237,29,4,0,0,3,Fair,Low,100000,500,55.0,Approve with Adjusted Premium,3100.0
238,56,9,1,3,1,Excellent,Medium,25000,500,96.5,Reject,982.5
239,19,0,4,2,3,Fair,High,25000,2000,100.0,Reject,250.0
240,20,5,1,1,1,Excellent,Low,250000,250,50.5,Approve with Adjusted Premium,15050.0
241,66,12,3,2,0,Poor,High,100000,1000,100.0,Reject,2000.0
242,54,14,3,2,4,Good,Low,50000,250,100.0,Reject,4000.0
243,66,3,3,2,3,Poor,Low,250000,2000,100.0,Reject,2500.0
244,73,12,5,0,1,Good,Low,100000,250,91.0,Reject,7640.0
245,34,19,5,3,2,Excellent,Low,250000,2000,100.0,Reject,2500.0
246,66,14,0,0,3,Good,Medium,50000,500,70.0,Refer to Underwriter,1700.0
247,19,7,3,3,0,Poor,Medium,250000,1000,100.0,Reject,5000.0
248,19,4,4,1,0,Good,Low,250000,500,76.0,Refer to Underwriter,8800.0
249,45,14,1,1,2,Excellent,High,250000,250,97.0,Reject,19700.0
250,71,3,2,2,1,Good,Low,100000,500,77.5,Refer to Underwriter,3550.0
251,40,11,4,3,3,Fair,Medium,50000,1000,100.0,Reject,1000.0
252,54,12,5,3,1,Poor,High,25000,500,100.0,Reject,1000.0
253,49,1,5,3,0,Fair,Medium,100000,1000,100.0,Reject,2000.0
254,50,18,4,2,1,Excellent,Medium,25000,1000,100.0,Reject,500.0
255,18,18,5,2,0,Good,High,25000,500,100.0,Reject,1000.0
256,36,3,3,1,1,Fair,Low,100000,2000,82.5,Refer to Underwriter,912.5
257,19,3,0,0,2,Fair,Low,100000,250,45.5,Approve with Adjusted Premium,5820.0
258,70,10,1,3,4,Good,Low,50000,2000,100.0,Reject,500.0
259,61,4,0,3,2,Good,Low,50000,2000,82.0,Refer to Underwriter,455.0
260,43,19,1,0,2,Poor,High,250000,500,100.0,Reject,10000.0
261,49,10,1,3,4,Fair,High,25000,250,100.0,Reject,2000.0
262,23,9,0,2,4,Fair,High,50000,250,100.0,Reject,4000.0
263,49,7,4,2,3,Excellent,Medium,250000,2000,100.0,Reject,2500.0
264,72,5,1,3,3,Poor,High,50000,500,100.0,Reject,2000.0
265,21,5,0,2,2,Excellent,Low,100000,250,63.5,Approve with Adjusted Premium,6540.0
266,72,7,1,2,2,Fair,Medium,50000,2000,100.0,Reject,500.0
267,28,14,2,3,0,Excellent,Low,25000,250,96.0,Reject,1960.0
268,73,13,4,1,0,Fair,Low,50000,500,99.5,Reject,1995.0
269,34,10,3,0,3,Fair,High,25000,500,100.0,Reject,1000.0
270,55,11,1,2,3,Excellent,High,100000,500,100.0,Reject,4000.0
271,41,12,2,1,0,Excellent,Low,25000,250,63.0,Approve with Adjusted Premium,1630.0
272,22,7,3,2,0,Good,Low,50000,1000,85.5,Reject,927.5
273,69,17,3,2,1,Good,Medium,250000,250,100.0,Reject,20000.0
274,51,0,1,0,1,Good,High,100000,1000,58.0,Approve with Adjusted Premium,1580.0
275,23,14,0,2,0,Fair,Medium,50000,500,86.0,Reject,1860.0
276,39,7,1,0,1,Excellent,Medium,100000,2000,48.5,Approve with Adjusted Premium,742.5
277,28,10,2,0,4,Poor,Medium,100000,1000,100.0,Reject,2000.0
278,65,11,3,0,3,Fair,Low,50000,500,95.5,Reject,1955.0
279,33,11,1,1,3,Poor,Medium,50000,500,100.0,Reject,2000.0
280,50,3,0,3,0,Excellent,Medium,250000,1000,69.5,Approve with Adjusted Premium,4237.5
281,26,15,1,1,2,Fair,Low,100000,2000,88.5,Reject,942.5
282,23,3,4,3,0,Poor,High,100000,500,100.0,Reject,4000.0
283,33,4,0,3,1,Poor,High,50000,1000,100.0,Reject,1000.0
284,46,4,2,0,2,Good,Medium,25000,2000,67.0,Approve with Adjusted Premium,208.75
285,20,7,3,2,1,Good,Low,50000,2000,93.5,Reject,483.75
286,37,9,1,0,4,Good,High,100000,500,95.5,Reject,3910.0
287,53,16,0,2,1,Fair,Medium,50000,250,97.0,Reject,3940.0
288,36,8,4,3,4,Excellent,Medium,250000,250,100.0,Reject,20000.0
289,43,18,0,0,4,Excellent,Low,25000,500,69.0,Approve with Adjusted Premium,845.0
290,20,13,5,2,1,Good,Medium,50000,2000,100.0,Reject,500.0
291,36,7,4,1,1,Good,High,250000,500,100.0,Reject,10000.0
292,37,8,2,2,4,Good,Low,100000,1000,100.0,Reject,2000.0
293,49,10,3,0,2,Poor,High,50000,250,100.0,Reject,4000.0
294,24,0,2,1,4,Good,High,100000,1000,100.0,Reject,2000.0
295,69,13,1,2,3,Poor,High,250000,500,100.0,Reject,10000.0
296,58,4,0,2,4,Excellent,Medium,100000,500,88.0,Reject,3760.0
297,50,13,5,2,2,Fair,Medium,250000,2000,100.0,Reject,2500.0
298,57,3,4,2,3,Fair,High,250000,2000,100.0,Reject,2500.0
299,56,0,4,2,0,Fair,High,250000,2000,100.0,Reject,2500.0
300,35,18,0,1,0,Fair,Low,50000,1000,67.0,Approve with Adjusted Premium,835.0
301,57,7,5,3,2,Poor,Low,100000,2000,100.0,Reject,1000.0
302,18,14,0,1,4,Poor,Medium,100000,500,100.0,Reject,4000.0
303,28,14,1,1,1,Good,Medium,25000,2000,79.0,Refer to Underwriter,223.75
304,45,8,2,1,2,Poor,Low,25000,250,98.0,Reject,1980.0
305,74,8,4,3,3,Good,High,25000,2000,100.0,Reject,250.0
306,42,9,1,0,3,Good,Medium,25000,1000,72.5,Refer to Underwriter,431.25
307,67,19,2,3,0,Fair,High,100000,250,100.0,Reject,8000.0
308,40,8,1,1,3,Poor,Low,250000,250,96.0,Reject,19600.0
309,48,2,5,2,2,Poor,Medium,250000,250,100.0,Reject,20000.0
310,47,19,4,2,3,Good,Medium,50000,1000,100.0,Reject,1000.0
311,59,10,0,1,2,Good,Low,250000,500,61.0,Approve with Adjusted Premium,8050.0
312,52,5,0,2,1,Excellent,Medium,100000,2000,65.5,Approve with Adjusted Premium,827.5
313,24,1,2,1,0,Excellent,Low,100000,250,46.5,Approve with Adjusted Premium,5860.0
314,33,6,3,2,3,Good,Medium,100000,250,100.0,Reject,8000.0
315,43,17,5,3,2,Excellent,Low,50000,250,100.0,Reject,4000.0
316,65,1,2,0,4,Excellent,Medium,25000,500,73.5,Refer to Underwriter,867.5
317,74,16,3,0,0,Good,High,250000,500,94.0,Reject,9700.0
318,69,10,1,3,1,Good,High,100000,1000,100.0,Reject,2000.0
319,66,11,5,3,2,Poor,High,100000,500,100.0,Reject,4000.0
320,19,18,1,1,1,Good,Medium,25000,2000,85.0,Reject,231.25
321,18,6,4,1,1,Good,Medium,100000,1000,97.0,Reject,1970.0
322,65,19,5,1,3,Fair,High,250000,1000,100.0,Reject,5000.0
323,29,5,3,2,3,Poor,High,50000,2000,100.0,Reject,500.0
324,22,0,4,1,2,Poor,Low,100000,2000,100.0,Reject,1000.0
325,54,16,0,3,4,Poor,Low,250000,2000,100.0,Reject,2500.0
326,49,10,3,0,2,Fair,Low,100000,1000,86.0,Reject,1860.0
327,72,17,2,2,4,Good,High,25000,1000,100.0,Reject,500.0
328,26,16,0,1,1,Poor,High,100000,1000,100.0,Reject,2000.0
329,58,6,0,2,0,Poor,High,100000,2000,99.0,Reject,995.0
330,52,16,2,2,2,Excellent,Low,50000,2000,100.0,Reject,500.0
331,36,19,5,1,2,Poor,Medium,25000,250,100.0,Reject,2000.0
332,65,8,0,2,4,Good,High,25000,500,100.0,Reject,1000.0
333,33,16,3,0,1,Good,Medium,50000,250,87.0,Reject,3740.0
334,20,19,4,3,1,Excellent,Medium,100000,2000,100.0,Reject,1000.0
335,37,7,0,3,4,Poor,Medium,250000,1000,100.0,Reject,5000.0
336,41,16,3,0,1,Poor,Low,25000,2000,97.0,Reject,246.25
337,71,6,1,2,3,Poor,Medium,25000,500,100.0,Reject,1000.0
338,73,0,3,1,0,Fair,High,100000,250,95.0,Reject,7800.0
339,50,12,4,2,2,Poor,Low,100000,250,100.0,Reject,8000.0
340,41,18,3,0,0,Good,High,25000,1000,97.0,Reject,492.5
341,69,18,2,2,2,Good,High,100000,250,100.0,Reject,8000.0
342,28,16,4,3,3,Fair,Low,250000,250,100.0,Reject,20000.0
343,66,12,5,2,1,Fair,High,25000,2000,100.0,Reject,250.0
344,25,15,1,0,4,Poor,High,250000,250,100.0,Reject,20000.0
345,53,7,2,3,3,Excellent,Low,250000,250,100.0,Reject,20000.0
346,55,18,5,2,0,Fair,High,100000,250,100.0,Reject,8000.0
347,57,17,3,2,4,Fair,Medium,250000,1000,100.0,Reject,5000.0
348,37,0,4,3,1,Poor,High,100000,1000,100.0,Reject,2000.0
349,52,13,1,1,3,Poor,Medium,50000,2000,100.0,Reject,500.0
350,65,18,2,3,4,Fair,High,100000,250,100.0,Reject,8000.0
351,42,14,5,1,3,Excellent,Low,250000,1000,100.0,Reject,5000.0
352,52,17,5,0,3,Fair,Low,50000,1000,100.0,Reject,1000.0
353,42,1,1,0,1,Poor,High,100000,2000,79.5,Refer to Underwriter,897.5
354,46,16,3,3,2,Poor,Low,250000,500,100.0,Reject,10000.0
355,35,17,1,3,4,Fair,High,25000,250,100.0,Reject,2000.0
356,63,5,5,0,1,Excellent,Low,25000,1000,75.5,Refer to Underwriter,438.75
357,35,18,0,1,3,Fair,Medium,100000,2000,100.0,Reject,1000.0
358,19,3,2,0,1,Fair,High,100000,2000,82.5,Refer to Underwriter,912.5
359,71,0,1,3,2,Poor,Medium,25000,2000,100.0,Reject,250.0
